db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,157.872,,0.828
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,155.375,,0.818
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,156.487,,0.828
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,74.941,,0.611
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,74.405,,0.611
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,82.463,,0.611
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,67.524,,0.692
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,65.5,,0.687
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,66.053,,0.677
MIMIC-IV,gpt-3.5-turbo,0.0,10,1,False,89.717,,0.717
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,83.5,,0.712
MIMIC-IV,gpt-3.5-turbo,0.5,10,1,False,91.121,,0.692
MIMIC-IV,gpt-4o,0.0,10,1,False,102.184,,0.803
MIMIC-IV,gpt-4o,0.2,10,1,False,101.184,,0.798
MIMIC-IV,gpt-4o,0.5,10,1,False,96.85,,0.778
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,152.828,,0.765
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,156.279,,0.765
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,156.354,,0.765
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,80.529,,0.675
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,82.351,,0.675
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,85.501,,0.67
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,76.219,,0.58
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,71.07,,0.58
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,66.77,,0.575
eICU-CRD,gpt-3.5-turbo,0.0,10,1,False,85.63,,0.66
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,87.469,,0.655
eICU-CRD,gpt-3.5-turbo,0.5,10,1,False,88.273,,0.66
eICU-CRD,gpt-4o,0.0,10,1,False,99.265,,0.84
eICU-CRD,gpt-4o,0.2,10,1,False,100.962,,0.83
eICU-CRD,gpt-4o,0.5,10,1,False,106.997,,0.83
