db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,56.098,,0.985,0.857,0.923,0.889,0.989,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,286.839,1.0,0.985,0.857,0.923,0.889,0.989,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,61.648,,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,313.677,1.0,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,60.527,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,287.607,1.0,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,64.893,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,303.864,1.0,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,54.633,,0.975,0.722,1.0,0.839,0.973,0.986
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,261.219,0.997,0.98,0.765,1.0,0.867,0.978,0.989
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,65.311,,0.99,0.778,1.0,0.875,0.99,0.995
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,329.025,0.999,0.99,0.778,1.0,0.875,0.99,0.995
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,63.305,,0.99,0.778,1.0,0.875,0.99,0.995
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,310.589,1.0,0.99,0.778,1.0,0.875,0.99,0.995
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,55.5,,0.975,0.583,1.0,0.737,0.974,0.987
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,305.877,0.998,0.975,0.583,1.0,0.737,0.974,0.987
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,67.068,,0.98,0.636,1.0,0.778,0.979,0.99
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,318.119,0.999,0.98,0.636,1.0,0.778,0.979,0.99
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,56.51,,0.965,0.5,1.0,0.667,0.964,0.982
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,329.67,0.998,0.965,0.5,1.0,0.667,0.964,0.982
